prototype,seed,scale,baseline_case_id,case_id,both_generated,l1_count_baseline,l1_count_perturbed,l1_count_delta,l2_count_baseline,l2_count_perturbed,l2_count_delta,ordinary_total_length_baseline,ordinary_total_length_perturbed,ordinary_total_length_delta,root_coverage_qcov_baseline,root_coverage_qcov_perturbed,root_coverage_qcov_delta,length_relative_change_percent,branch_count_delta,flower_vine_inputs_unchanged,selected_geometry_changed
SW2-A,20260925,1.2,SW2-A_seed20260925_width1.0,SW2-A_seed20260925_width1.2,True,6,6,0,1,1,0,1.396308441744133,1.4542203384815704,0.05791189673743746,0.6666666670000001,0.6666666670000001,0.0,4.147500294784412,0,True,True
SW3-A,20260923,0.8,SW3-A_seed20260923_width1.0,SW3-A_seed20260923_width0.8,True,5,5,0,2,2,0,1.516615697336017,1.5841131035501654,0.06749740621414846,0.636363636,0.636363636,0.0,4.450527996822773,0,True,True
SW3-A,20260923,1.2,SW3-A_seed20260923_width1.0,SW3-A_seed20260923_width1.2,True,5,6,1,2,2,0,1.516615697336017,1.4924713555358482,-0.024144341800168778,0.636363636,0.666666666,0.03030303000000001,-1.5919881247819734,1,True,True
SW3-A,20260924,0.8,SW3-A_seed20260924_width1.0,SW3-A_seed20260924_width0.8,True,6,6,0,1,1,0,1.490320968442705,1.4710193247920933,-0.01930164365061171,0.727272728,0.727272727,-9.999999717180685e-10,-1.2951333343166227,0,True,True
SW3-A,20260924,1.2,SW3-A_seed20260924_width1.0,SW3-A_seed20260924_width1.2,True,6,6,0,1,1,0,1.490320968442705,1.4309532956761144,-0.05936767276659061,0.727272728,0.696969697,-0.03030303099999998,-3.983549451674573,0,True,True
SW3-A,20260925,0.8,SW3-A_seed20260925_width1.0,SW3-A_seed20260925_width0.8,True,6,5,-1,1,1,0,1.4445486795886795,1.3874345744831147,-0.057114105105564805,0.666666666,0.636363636,-0.03030303000000001,-3.953768115438483,-1,True,True
SW3-A,20260925,1.2,SW3-A_seed20260925_width1.0,SW3-A_seed20260925_width1.2,True,6,6,0,1,1,0,1.4445486795886795,1.4543271300273644,0.00977845043868486,0.666666666,0.696969697,0.03030303099999998,0.6769207972602942,0,True,True
SW3-B,20260923,0.8,SW3-B_seed20260923_width1.0,SW3-B_seed20260923_width0.8,True,6,6,0,3,2,-1,1.9842104611934233,1.7824934000721313,-0.20171706112129195,0.727272727,0.696969697,-0.03030303000000001,-10.166112167353825,-1,True,True
SW3-B,20260923,1.2,SW3-B_seed20260923_width1.0,SW3-B_seed20260923_width1.2,True,6,6,0,3,2,-1,1.9842104611934233,1.8045209671400984,-0.1796894940533249,0.727272727,0.696969697,-0.03030303000000001,-9.05596949354096,-1,True,True
SW3-B,20260924,0.8,SW3-B_seed20260924_width1.0,SW3-B_seed20260924_width0.8,True,6,6,0,1,1,0,1.7230956431968243,1.427944203800282,-0.2951514393965422,0.666666667,0.666666667,0.0,-17.129138510788277,0,True,True
SW3-B,20260924,1.2,SW3-B_seed20260924_width1.0,SW3-B_seed20260924_width1.2,True,6,6,0,1,1,0,1.7230956431968243,1.7284956769520572,0.0054000337552329025,0.666666667,0.636363637,-0.03030303000000001,0.31339141135626747,0,True,True
SW3-B,20260925,0.8,SW3-B_seed20260925_width1.0,SW3-B_seed20260925_width0.8,True,6,6,0,2,1,-1,1.5903436177940327,1.399862056616099,-0.19048156117793358,0.6363636369999999,0.6666666659999999,0.030303029000000037,-11.977383946882547,-1,True,True
SW3-B,20260925,1.2,SW3-B_seed20260925_width1.0,SW3-B_seed20260925_width1.2,True,6,6,0,2,1,-1,1.5903436177940327,1.6519529342465396,0.06160931645250689,0.6363636369999999,0.6666666669999999,0.03030303000000001,3.873962567785516,-1,True,True
