prototype,scale,planned,generated,geometry_valid,l1_count_n,l1_count_mean,l1_count_median,l1_count_min,l1_count_max,l1_count_q25,l1_count_q75,l2_count_n,l2_count_mean,l2_count_median,l2_count_min,l2_count_max,l2_count_q25,l2_count_q75,ordinary_total_length_n,ordinary_total_length_mean,ordinary_total_length_median,ordinary_total_length_min,ordinary_total_length_max,ordinary_total_length_q25,ordinary_total_length_q75,root_coverage_qcov_n,root_coverage_qcov_mean,root_coverage_qcov_median,root_coverage_qcov_min,root_coverage_qcov_max,root_coverage_qcov_q25,root_coverage_qcov_q75,total_runtime_seconds_n,total_runtime_seconds_mean,total_runtime_seconds_median,total_runtime_seconds_min,total_runtime_seconds_max,total_runtime_seconds_q25,total_runtime_seconds_q75
All,0.8,18,18,18,18,5.722222222222222,6.0,5.0,6.0,5.25,6.0,18,1.4444444444444444,1.0,1.0,3.0,1.0,2.0,18,1.389464201899691,1.4055791221642209,1.0465739074314369,1.7824934000721313,1.3576184661993291,1.427134011267269,18,0.6296296294999999,0.636363636,0.454545454,0.727272728,0.636363636,0.6666666670000001,18,27.09068168332952,24.134598649994587,8.940564599994104,65.75786129999324,13.351790074993914,29.119317399992724
All,1.0,18,18,18,18,5.611111111111111,6.0,5.0,6.0,5.0,6.0,18,1.5,1.0,1.0,3.0,1.0,2.0,18,1.4173993599694794,1.405144468101855,1.0492755770568698,1.9842104611934233,1.2987492715727744,1.491621436108157,18,0.6228956229444444,0.6363636369999999,0.4848484849999999,0.727272728,0.56818181775,0.666666667,18,20.413755544443525,18.035802599995804,7.877761700001429,55.67007529998955,10.928039425005409,19.820503324997844
All,1.2,18,18,18,18,5.722222222222222,6.0,5.0,6.0,5.25,6.0,18,1.3888888888888888,1.0,1.0,3.0,1.0,2.0,18,1.4000141220624065,1.4289778843814815,1.085017871561153,1.8045209671400984,1.2290732356004506,1.4852894079641454,18,0.6212121211666667,0.666666666,0.484848485,0.696969697,0.5606060602499999,0.6666666670000001,18,15.664837355557312,13.91398914999445,6.344560400000773,35.8274439000088,10.016488450000907,15.645100775003812
