case_id,source_case_id,prototype_id,backbone_variant,production_seed,replicate,density_level,generation_success,independent_evaluation_success,mechanically_legal,target_total_l1_count,actual_total_l1_count,target_selected_l2_count,actual_selected_l2_count,targets_consumed_exactly,normalized_ordinary_branch_length,occupied_area_ratio,actual_upgraded_parent_count,allocation_rule,backbone_seam_position_gap,backbone_seam_tangent_dot,backbone_seed,backbone_seed_source,branch_seed,branch_seed_source,branchunit_candidate_count,branchunit_count,branchunit_count_evaluated,case_dir,clearance_violation_count,conflict_edge_count,conflict_graph_runtime_seconds,cross_unit_crossing_count,density_resource_D,error_message,error_type,flower_region_intrusion_curve_count,flower_seed,flower_seed_source,hierarchy_l1_only_ratio,hierarchy_opposed_l2_ratio,hierarchy_single_l2_ratio,internal_unit_crossing_count,l1_candidate_count,l1_count,l1_layout_crossing_count,l1_layout_minimum_clearance,l1_layout_parallel_cotravel_peak,l1_layout_parallel_cotravel_total,l1_layout_periodic_crossing_count,l2_count,lower_allocation_ratio,matrix_id,mean_backbone_excursion,mechanical_evaluation_success,method,minimum_cross_unit_clearance,minimum_full_unit_clearance_required,normalized_repeat_width,ordinary_backbone_nonroot_crossing_count,ordinary_l1_count,ordinary_mean_length,ordinary_support_crossing_count,ordinary_total_length,pair_penalty_count,parallel_cotravel_peak,parallel_cotravel_total,periodic_crossing_count,periodic_seam_violation_count,render_runtime_seconds,root_concentration,root_coverage_qcov,root_gap_max,root_gap_q25,root_gap_q50,root_gap_q75,root_hist_0,root_hist_1,root_hist_2,root_hist_3,root_hist_4,root_hist_5,root_hist_6,root_hist_7,rq_use,search_node_count,search_node_limit,search_node_limit_reached,selected_l1_only_count,selected_l2_count,selection_runtime_seconds,stage3_runtime_seconds,stage4_runtime_seconds,total_runtime_seconds,unit_seed,unit_seed_source,upper_allocation_ratio,vertical_span
E10V2_A462,A462,proto_sw_1_c,expanded,200001,2,rich,1,1,1,9,9,5,5,1,2.130333283459287,0.04646005036630037,5,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate,0.0,1.0000000000000002,2099076444,200001,157358250,200001,175,7,7,raw_cases/E10V2_A462,0,407,4.98347600013949,0,0.544554826,,,0,668946205,200001,0.2857142857142857,0.0,0.7142857142857143,0,918,7,0,0.06832614030567334,0.0,0.0,0,5,0.42857142857142855,E10_DENSITY_CONTROL_V2,0.1155349191561531,1,Ours,0.06824270657380413,0.027768053,1.0,0,7,0.1775277736216073,0,2.130333283459287,469,0.0,0.0,0,0,0.02027440001256764,0.2857142857142857,0.757575758,0.242424242,0.106060606,0.121212121,0.16666666700000002,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,E10_DENSITY_CONTROL_V2,425,300000,0,2,5,0.004126100102439523,15.291813499992713,3.0185755998827517,23.33438690006733,1522627173,200001,0.5714285714285714,0.8868239379999999
E10V2_A469,A469,proto_sw_1_c,expanded,200002,3,simple,1,1,1,5,5,1,1,1,0.7756651780463009,0.017206101190476192,1,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate,0.0,0.9999999999999999,1586078355,200002,3834742724,200002,75,3,3,raw_cases/E10V2_A469,0,0,0.44670669990591705,0,0.284351384,,,0,2795483619,200002,0.6666666666666666,0.0,0.3333333333333333,0,912,3,0,0.1006691741156321,0.0,0.0,0,1,0.6666666666666666,E10_DENSITY_CONTROL_V2,0.062289393565153915,1,Ours,0.10061379290250992,0.027768053,1.0,0,3,0.19391629451157522,0,0.7756651780463009,0,0.0,0.0,0,0,0.019501199945807457,0.6666666666666666,0.515151515,0.484848485,0.2575757575,0.424242425,0.454545455,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,E10_DENSITY_CONTROL_V2,104,300000,0,2,1,0.001104000024497509,14.41823280020617,1.260232900036499,16.16067499993369,1346423801,200002,0.3333333333333333,0.7600275839999999
E10V2_A470,A470,proto_sw_1_c,expanded,200002,3,medium,1,1,1,7,7,3,3,1,1.3461170984945623,0.026821485805860804,3,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate,0.0,0.9999999999999999,1586078355,200002,3834742724,200002,125,5,5,raw_cases/E10V2_A470,0,291,2.977127400226891,0,0.466354483,,,0,2795483619,200002,0.4,0.0,0.6,0,912,5,0,0.09785591997995806,0.0,0.0,0,3,0.4,E10_DENSITY_CONTROL_V2,0.10086002411769908,1,Ours,0.09781021366228881,0.027768053,1.0,0,5,0.1682646373118203,0,1.3461170984945623,536,0.0,0.0,0,0,0.02015420002862811,0.2,0.636363637,0.363636363,0.151515152,0.151515152,0.181818182,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,E10_DENSITY_CONTROL_V2,1225,300000,0,2,3,0.0037984000518918037,14.454350200016052,2.1248214999213815,19.599440400023013,1346423801,200002,0.6,0.807307886
E10V2_A471,A471,proto_sw_1_c,expanded,200002,3,rich,1,1,1,9,9,5,5,1,2.2629493428068512,0.048212854853479856,5,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate,0.0,0.9999999999999999,1586078355,200002,3834742724,200002,175,7,7,raw_cases/E10V2_A471,0,616,5.429987600073218,0,0.618883971,,,0,2795483619,200002,0.2857142857142857,0.0,0.7142857142857143,0,912,7,0,0.05412296693472347,0.19983802256342667,0.19983802256342667,0,5,0.42857142857142855,E10_DENSITY_CONTROL_V2,0.10822650307917168,1,Ours,0.05401698671923408,0.027768053,1.0,0,7,0.18857911190057094,0,2.2629493428068512,712,0.0,0.0,0,0,0.023950599832460284,0.2857142857142857,0.757575757,0.24242424299999998,0.090909091,0.12121212099999999,0.181818182,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,E10_DENSITY_CONTROL_V2,28970,300000,0,2,5,0.048957600025460124,15.41860940004699,3.4007375000510365,24.344200200168416,1346423801,200002,0.5714285714285714,0.80463569
E10V2_A478,A478,proto_sw_1_c,expanded,200003,4,simple,1,1,1,5,5,1,1,1,0.7644352325142794,0.013464400183150184,1,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate,0.0,1.0000000000000002,2755701457,200003,587951499,200003,75,3,3,raw_cases/E10V2_A478,0,0,0.6718065000604838,0,0.228072401,,,0,200490488,200003,0.6666666666666666,0.0,0.3333333333333333,0,906,3,0,0.2506672998653907,0.0,0.0,0,1,0.3333333333333333,E10_DENSITY_CONTROL_V2,0.0761063000984846,1,Ours,0.2506672998653907,0.027768053,1.0,0,3,0.1911088081285698,0,0.7644352325142794,0,0.0,0.0,0,0,0.019961400190368295,0.3333333333333333,0.545454545,0.454545455,0.2727272725,0.363636364,0.4090909095,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,E10_DENSITY_CONTROL_V2,96,300000,0,2,1,0.0018403001595288515,15.436545599950477,1.564063800033182,17.711974899983034,654989446,200003,0.6666666666666666,0.628064236
E10V2_A479,A479,proto_sw_1_c,expanded,200003,4,medium,1,1,1,7,7,3,3,1,1.3531252118770147,0.0294757326007326,3,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate,0.0,1.0000000000000002,2755701457,200003,587951499,200003,125,5,5,raw_cases/E10V2_A479,0,216,1.5629826001822948,0,0.288778147,,,0,200490488,200003,0.4,0.0,0.6,0,906,5,0,0.035762471133785986,0.09092717333973488,0.09092717333973488,0,3,0.4,E10_DENSITY_CONTROL_V2,0.08854809066336697,1,Ours,0.03574362568465986,0.027768053,1.0,0,5,0.16914065148462684,0,1.3531252118770147,249,0.0,0.0,0,0,0.022746199974790215,0.2,0.696969697,0.303030303,0.15151515100000001,0.151515152,0.272727272,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0,E10_DENSITY_CONTROL_V2,471,300000,0,2,3,0.003491699928417802,17.616798299830407,2.6122709999326617,21.83728350000456,654989446,200003,0.6,0.758556197
E10V2_A480,A480,proto_sw_1_c,expanded,200003,4,rich,1,1,1,9,9,5,5,1,2.1450862910370696,0.04570884844322344,5,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate,0.0,1.0000000000000002,2755701457,200003,587951499,200003,175,7,7,raw_cases/E10V2_A480,0,604,6.693564500194043,0,0.620667053,,,0,200490488,200003,0.2857142857142857,0.0,0.7142857142857143,0,906,7,0,0.038518896044807016,0.3606803082688996,0.3691883137483167,0,5,0.42857142857142855,E10_DENSITY_CONTROL_V2,0.10324618026889741,1,Ours,0.03850128865311924,0.027768053,1.0,0,7,0.1787571909197558,0,2.1450862910370696,647,0.010569416302136902,0.010569416302136902,0,0,0.020765900146216154,0.2857142857142857,0.757575758,0.242424242,0.106060606,0.12121212100000003,0.166666667,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,E10_DENSITY_CONTROL_V2,56443,300000,0,2,5,0.0818900999147445,17.26465839985758,3.638287500012666,27.716084300074726,654989446,200003,0.5714285714285714,0.9285394220000001
E10V2_A487,A487,proto_sw_1_c,expanded,200004,5,simple,1,1,1,5,5,1,1,1,0.7699023546781748,0.017063015109890108,1,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate,0.0,1.0,3661431921,200004,2403426353,200004,75,3,3,raw_cases/E10V2_A487,0,0,0.6478368998505175,0,0.31132978,,,0,3802206688,200004,0.6666666666666666,0.0,0.3333333333333333,0,943,3,0,0.1672691447049396,0.0,0.0,0,1,0.3333333333333333,E10_DENSITY_CONTROL_V2,0.07854342391957526,1,Ours,0.1672691447049396,0.027768053,1.0,0,3,0.19247558866954367,0,0.7699023546781748,0,0.0,0.0,0,0,0.02234850008971989,0.3333333333333333,0.545454546,0.454545454,0.272727273,0.4242424250000001,0.43939393950000005,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,E10_DENSITY_CONTROL_V2,88,300000,0,2,1,0.0020971999038010836,17.910567600047216,1.4474097001366317,20.047921699937433,861773372,200004,0.6666666666666666,0.702828217
E10V2_A488,A488,proto_sw_1_c,expanded,200004,5,medium,1,1,1,7,7,3,3,1,1.5425238709152977,0.030234088827838828,3,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate,0.0,1.0,3661431921,200004,2403426353,200004,125,5,5,raw_cases/E10V2_A488,0,129,2.8084250001702458,0,0.510472286,,,0,3802206688,200004,0.4,0.0,0.6,0,943,5,0,0.05369657975988235,0.0,0.0,0,3,0.6,E10_DENSITY_CONTROL_V2,0.11561636055928028,1,Ours,0.05372338602910066,0.027768053,1.0,0,5,0.19281548386441222,0,1.5425238709152977,228,0.0,0.0,0,0,0.027700399979948997,0.2,0.6666666669999999,0.33333333300000006,0.151515152,0.1515151520000001,0.212121212,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.2,E10_DENSITY_CONTROL_V2,3063,300000,0,2,3,0.006919199833646417,18.433273900067434,2.5622280000243336,23.8627217002213,861773372,200004,0.4,0.8882944349999999
E10V2_A489,A489,proto_sw_1_c,expanded,200004,5,rich,1,1,1,9,9,5,5,1,2.353781351997089,0.051096039377289376,5,production seeds 200000-200009; explicit variant and density overrides; four domain seeds paired within replicate,0.0,1.0,3661431921,200004,2403426353,200004,175,7,7,raw_cases/E10V2_A489,0,68,5.463646299904212,0,0.60857989,,,0,3802206688,200004,0.2857142857142857,0.0,0.7142857142857143,0,943,7,0,0.047862788673736105,0.0,0.0,0,5,0.42857142857142855,E10_DENSITY_CONTROL_V2,0.12104826629553461,1,Ours,0.047862788673736105,0.027768053,1.0,0,7,0.19614844599975736,0,2.353781351997089,18,0.0,0.0,0,0,0.02798160002566874,0.2857142857142857,0.727272727,0.272727273,0.09090909100000005,0.121212121,0.16666666700000002,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,E10_DENSITY_CONTROL_V2,10621,300000,0,2,5,0.01585360011085868,17.619101400021464,3.304216800024733,26.45838570012711,861773372,200004,0.5714285714285714,0.870729554
