case_id,prototype_id,backbone_variant,density_level,replicate,diagnostic_id,method,target_l2_count,target_upgraded_parent_count,achieved_l2_count,achieved_upgraded_parent_count,mechanically_legal,internal_unit_crossing_count,cross_unit_crossing_count,ordinary_backbone_nonroot_crossing_count,ordinary_support_crossing_count,periodic_crossing_count,clearance_violation_count,flower_region_intrusion_curve_count,periodic_seam_violation_count,minimum_cross_unit_clearance,minimum_full_unit_clearance_required,parallel_cotravel_total,parallel_cotravel_peak,hierarchy_l1_only_ratio,hierarchy_single_l2_ratio,hierarchy_opposed_l2_ratio
C004,proto_sw_1_1,expanded,medium,2,MB-L2,LG+CS,1,,1,1,1,0,0,0,0,0,0,0,0,0.07474764332454327,0.027768053,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
C004,proto_sw_1_1,expanded,medium,2,MB-L2,JBC,1,,1,1,1,0,0,0,0,0,0,0,0,0.07474764332454327,0.027768053,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
C004,proto_sw_1_1,expanded,medium,2,MB-L2,LocalGreedy,2,,2,1,1,0,0,0,0,0,0,0,0,0.07474764332454327,0.027768053,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
C004,proto_sw_1_1,expanded,medium,2,MB-L2,LG+Count,2,,2,1,1,0,0,0,0,0,0,0,0,0.07474764332454327,0.027768053,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
C004,proto_sw_1_1,expanded,medium,2,MB-L2,LG+CS,2,,2,1,1,0,0,0,0,0,0,0,0,0.07474764332454327,0.027768053,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
C004,proto_sw_1_1,expanded,medium,2,MB-L2,JBC,2,,2,1,1,0,0,0,0,0,0,0,0,0.07474764332454327,0.027768053,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
C005,proto_sw_1_1,expanded,rich,1,MB-L2,LocalGreedy,1,,1,1,1,0,0,0,0,0,0,0,0,0.05046528696336143,0.027768053,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
C005,proto_sw_1_1,expanded,rich,1,MB-L2,LG+Count,1,,1,1,1,0,0,0,0,0,0,0,0,0.05046528696336143,0.027768053,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
C005,proto_sw_1_1,expanded,rich,1,MB-L2,LG+CS,1,,1,1,1,0,0,0,0,0,0,0,0,0.05046528696336143,0.027768053,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
C005,proto_sw_1_1,expanded,rich,1,MB-L2,JBC,1,,1,1,1,0,0,0,0,0,0,0,0,0.05046528696336143,0.027768053,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
C005,proto_sw_1_1,expanded,rich,1,MB-L2,LocalGreedy,2,,2,1,1,0,0,0,0,0,0,0,0,0.03107526214622732,0.027768053,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
C005,proto_sw_1_1,expanded,rich,1,MB-L2,LG+Count,2,,2,1,1,0,0,0,0,0,0,0,0,0.03107526214622732,0.027768053,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
C005,proto_sw_1_1,expanded,rich,1,MB-L2,LG+CS,2,,2,1,1,0,0,0,0,0,0,0,0,0.03107526214622732,0.027768053,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
C005,proto_sw_1_1,expanded,rich,1,MB-L2,JBC,2,,2,1,1,0,0,0,0,0,0,0,0,0.05046528696336143,0.027768053,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
C006,proto_sw_1_1,expanded,rich,2,MB-L2,LocalGreedy,1,,1,1,1,0,0,0,0,0,0,0,0,0.09408163920470253,0.027768053,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
C006,proto_sw_1_1,expanded,rich,2,MB-L2,LG+Count,1,,1,1,1,0,0,0,0,0,0,0,0,0.09408163920470253,0.027768053,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
C006,proto_sw_1_1,expanded,rich,2,MB-L2,LG+CS,1,,1,1,1,0,0,0,0,0,0,0,0,0.09408163920470253,0.027768053,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
C006,proto_sw_1_1,expanded,rich,2,MB-L2,JBC,1,,1,1,1,0,0,0,0,0,0,0,0,0.09408163920470253,0.027768053,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
C006,proto_sw_1_1,expanded,rich,2,MB-L2,LG+Count,2,,2,1,1,0,0,0,0,0,0,0,0,0.09408163920470253,0.027768053,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
C006,proto_sw_1_1,expanded,rich,2,MB-L2,LG+CS,2,,2,1,1,0,0,0,0,0,0,0,0,0.09408163920470253,0.027768053,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
C006,proto_sw_1_1,expanded,rich,2,MB-L2,JBC,2,,2,1,1,0,0,0,0,0,0,0,0,0.07128754756795316,0.027768053,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
C007,proto_sw_1_1,compact,simple,1,MB-L2,LocalGreedy,1,,1,1,1,0,0,0,0,0,0,0,0,0.053385879024660396,0.027768053,0.0,0.0,0.75,0.25,0.0
C007,proto_sw_1_1,compact,simple,1,MB-L2,LG+Count,1,,1,1,1,0,0,0,0,0,0,0,0,0.053385879024660396,0.027768053,0.0,0.0,0.75,0.25,0.0
C007,proto_sw_1_1,compact,simple,1,MB-L2,LG+CS,1,,1,1,1,0,0,0,0,0,0,0,0,0.053385879024660396,0.027768053,0.0,0.0,0.75,0.25,0.0
C007,proto_sw_1_1,compact,simple,1,MB-L2,JBC,1,,1,1,1,0,0,0,0,0,0,0,0,0.053385879024660396,0.027768053,0.0,0.0,0.75,0.25,0.0
C007,proto_sw_1_1,compact,simple,1,MB-L2,LocalGreedy,2,,2,1,1,0,0,0,0,0,0,0,0,0.053385879024660396,0.027768053,0.0,0.0,0.75,0.0,0.25
C007,proto_sw_1_1,compact,simple,1,MB-L2,LG+Count,2,,2,1,1,0,0,0,0,0,0,0,0,0.053385879024660396,0.027768053,0.0,0.0,0.75,0.0,0.25
C007,proto_sw_1_1,compact,simple,1,MB-L2,LG+CS,2,,2,1,1,0,0,0,0,0,0,0,0,0.053385879024660396,0.027768053,0.0,0.0,0.75,0.0,0.25
C007,proto_sw_1_1,compact,simple,1,MB-L2,JBC,2,,2,1,1,0,0,0,0,0,0,0,0,0.053385879024660396,0.027768053,0.0,0.0,0.75,0.0,0.25
C008,proto_sw_1_1,compact,simple,2,MB-L2,LocalGreedy,1,,1,1,1,0,0,0,0,0,0,0,0,0.05431857909514021,0.027768053,0.0,0.0,0.75,0.25,0.0
C008,proto_sw_1_1,compact,simple,2,MB-L2,LG+Count,1,,1,1,1,0,0,0,0,0,0,0,0,0.05431857909514021,0.027768053,0.0,0.0,0.75,0.25,0.0
C008,proto_sw_1_1,compact,simple,2,MB-L2,LG+CS,1,,1,1,1,0,0,0,0,0,0,0,0,0.05431857909514021,0.027768053,0.0,0.0,0.75,0.25,0.0
C008,proto_sw_1_1,compact,simple,2,MB-L2,JBC,1,,1,1,1,0,0,0,0,0,0,0,0,0.05431857909514021,0.027768053,0.0,0.0,0.75,0.25,0.0
C008,proto_sw_1_1,compact,simple,2,MB-L2,LocalGreedy,2,,2,1,1,0,0,0,0,0,0,0,0,0.05431857909514021,0.027768053,0.0,0.0,0.75,0.0,0.25
C008,proto_sw_1_1,compact,simple,2,MB-L2,LG+Count,2,,2,1,1,0,0,0,0,0,0,0,0,0.05431857909514021,0.027768053,0.0,0.0,0.75,0.0,0.25
C008,proto_sw_1_1,compact,simple,2,MB-L2,LG+CS,2,,2,1,1,0,0,0,0,0,0,0,0,0.05431857909514021,0.027768053,0.0,0.0,0.75,0.0,0.25
C008,proto_sw_1_1,compact,simple,2,MB-L2,JBC,2,,2,1,1,0,0,0,0,0,0,0,0,0.05431857909514021,0.027768053,0.0,0.0,0.75,0.0,0.25
C009,proto_sw_1_1,compact,medium,1,MB-L2,LocalGreedy,1,,1,1,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0,0.0,0.8,0.2,0.0
C009,proto_sw_1_1,compact,medium,1,MB-L2,LG+Count,1,,1,1,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0,0.0,0.8,0.2,0.0
C009,proto_sw_1_1,compact,medium,1,MB-L2,LG+CS,1,,1,1,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0,0.0,0.8,0.2,0.0
C009,proto_sw_1_1,compact,medium,1,MB-L2,JBC,1,,1,1,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0,0.0,0.8,0.2,0.0
C009,proto_sw_1_1,compact,medium,1,MB-L2,LocalGreedy,2,,2,1,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0,0.0,0.8,0.0,0.2
C009,proto_sw_1_1,compact,medium,1,MB-L2,LG+Count,2,,2,1,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0,0.0,0.8,0.0,0.2
C009,proto_sw_1_1,compact,medium,1,MB-L2,LG+CS,2,,2,2,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0,0.0,0.6,0.4,0.0
C009,proto_sw_1_1,compact,medium,1,MB-L2,JBC,2,,2,2,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0,0.0,0.6,0.4,0.0
C009,proto_sw_1_1,compact,medium,1,MB-L2,LocalGreedy,3,,3,2,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0,0.0,0.6,0.2,0.2
C009,proto_sw_1_1,compact,medium,1,MB-L2,LG+Count,3,,3,2,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0,0.0,0.6,0.2,0.2
C009,proto_sw_1_1,compact,medium,1,MB-L2,LG+CS,3,,3,2,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0,0.0,0.6,0.2,0.2
C009,proto_sw_1_1,compact,medium,1,MB-L2,JBC,3,,3,2,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0,0.0,0.6,0.2,0.2
C009,proto_sw_1_1,compact,medium,1,MB-L2,LocalGreedy,4,,4,2,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0,0.0,0.6,0.0,0.4
C009,proto_sw_1_1,compact,medium,1,MB-L2,LG+Count,4,,4,2,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0,0.0,0.6,0.0,0.4
C009,proto_sw_1_1,compact,medium,1,MB-L2,LG+CS,4,,4,2,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0,0.0,0.6,0.0,0.4
C009,proto_sw_1_1,compact,medium,1,MB-L2,JBC,4,,4,2,1,0,0,0,0,0,0,0,0,0.06032748671880861,0.027768053,0.0,0.0,0.6,0.0,0.4
C010,proto_sw_1_1,compact,medium,2,MB-L2,LocalGreedy,1,,1,1,1,0,0,0,0,0,0,0,0,0.09021955271754632,0.027768053,0.0,0.0,0.8,0.2,0.0
C010,proto_sw_1_1,compact,medium,2,MB-L2,LG+Count,1,,1,1,1,0,0,0,0,0,0,0,0,0.09021955271754632,0.027768053,0.0,0.0,0.8,0.2,0.0
C010,proto_sw_1_1,compact,medium,2,MB-L2,LG+CS,1,,1,1,1,0,0,0,0,0,0,0,0,0.09021955271754632,0.027768053,0.0,0.0,0.8,0.2,0.0
C010,proto_sw_1_1,compact,medium,2,MB-L2,JBC,1,,1,1,1,0,0,0,0,0,0,0,0,0.09021955271754632,0.027768053,0.0,0.0,0.8,0.2,0.0
C010,proto_sw_1_1,compact,medium,2,MB-L2,LocalGreedy,2,,2,1,1,0,0,0,0,0,0,0,0,0.09021955271754632,0.027768053,0.0,0.0,0.8,0.0,0.2
C010,proto_sw_1_1,compact,medium,2,MB-L2,LG+Count,2,,2,1,1,0,0,0,0,0,0,0,0,0.09021955271754632,0.027768053,0.0,0.0,0.8,0.0,0.2
C010,proto_sw_1_1,compact,medium,2,MB-L2,LG+CS,2,,2,2,1,0,0,0,0,0,0,0,0,0.09021955271754632,0.027768053,0.0,0.0,0.6,0.4,0.0
C010,proto_sw_1_1,compact,medium,2,MB-L2,JBC,2,,2,2,1,0,0,0,0,0,0,0,0,0.09021955271754632,0.027768053,0.0,0.0,0.6,0.4,0.0
C010,proto_sw_1_1,compact,medium,2,MB-L2,LocalGreedy,3,,3,2,1,0,0,0,0,0,0,0,0,0.09021955271754632,0.027768053,0.0,0.0,0.6,0.2,0.2
C010,proto_sw_1_1,compact,medium,2,MB-L2,LG+Count,3,,3,2,1,0,0,0,0,0,0,0,0,0.09021955271754632,0.027768053,0.0,0.0,0.6,0.2,0.2
C010,proto_sw_1_1,compact,medium,2,MB-L2,LG+CS,3,,3,2,1,0,0,0,0,0,0,0,0,0.032683940340656914,0.027768053,0.052619408686545015,0.052619408686545015,0.6,0.2,0.2
C010,proto_sw_1_1,compact,medium,2,MB-L2,JBC,3,,3,2,1,0,0,0,0,0,0,0,0,0.08685886895651142,0.027768053,0.0,0.0,0.6,0.2,0.2
C010,proto_sw_1_1,compact,medium,2,MB-L2,LocalGreedy,4,,4,2,1,0,0,0,0,0,0,0,0,0.04929712884963088,0.027768053,0.11179602896080404,0.11179602896080404,0.6,0.0,0.4
C010,proto_sw_1_1,compact,medium,2,MB-L2,LG+Count,4,,4,2,1,0,0,0,0,0,0,0,0,0.04929712884963088,0.027768053,0.11179602896080404,0.11179602896080404,0.6,0.0,0.4
C010,proto_sw_1_1,compact,medium,2,MB-L2,LG+CS,4,,4,2,1,0,0,0,0,0,0,0,0,0.032683940340656914,0.027768053,0.052619408686545015,0.052619408686545015,0.6,0.0,0.4
C010,proto_sw_1_1,compact,medium,2,MB-L2,JBC,4,,4,2,1,0,0,0,0,0,0,0,0,0.08685886895651142,0.027768053,0.0,0.0,0.6,0.0,0.4
C011,proto_sw_1_1,compact,rich,1,MB-L2,LocalGreedy,1,,1,1,1,0,0,0,0,0,0,0,0,0.03224320509541958,0.027768053,0.0002320223562758801,0.0002320223562758801,0.8333333333333334,0.16666666666666666,0.0
C011,proto_sw_1_1,compact,rich,1,MB-L2,LG+Count,1,,1,1,1,0,0,0,0,0,0,0,0,0.03224320509541958,0.027768053,0.0002320223562758801,0.0002320223562758801,0.8333333333333334,0.16666666666666666,0.0
C011,proto_sw_1_1,compact,rich,1,MB-L2,LG+CS,1,,1,1,1,0,0,0,0,0,0,0,0,0.03224320509541958,0.027768053,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
C011,proto_sw_1_1,compact,rich,1,MB-L2,JBC,1,,1,1,1,0,0,0,0,0,0,0,0,0.03224320509541958,0.027768053,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
C011,proto_sw_1_1,compact,rich,1,MB-L2,LocalGreedy,2,,2,1,1,0,0,0,0,0,0,0,0,0.03224320509541958,0.027768053,0.019223873215280726,0.019223873215280726,0.8333333333333334,0.0,0.16666666666666666
C011,proto_sw_1_1,compact,rich,1,MB-L2,LG+Count,2,,2,1,1,0,0,0,0,0,0,0,0,0.03224320509541958,0.027768053,0.019223873215280726,0.019223873215280726,0.8333333333333334,0.0,0.16666666666666666
C011,proto_sw_1_1,compact,rich,1,MB-L2,LG+CS,2,,2,1,1,0,0,0,0,0,0,0,0,0.03224320509541958,0.027768053,0.0030768487804024585,0.0030768487804024585,0.8333333333333334,0.0,0.16666666666666666
C011,proto_sw_1_1,compact,rich,1,MB-L2,JBC,2,,2,1,1,0,0,0,0,0,0,0,0,0.03224320509541958,0.027768053,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
C012,proto_sw_1_1,compact,rich,2,MB-L2,LocalGreedy,1,,1,1,1,0,0,0,0,0,0,0,0,0.03891037729046466,0.027768053,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
C012,proto_sw_1_1,compact,rich,2,MB-L2,LG+Count,1,,1,1,1,0,0,0,0,0,0,0,0,0.03891037729046466,0.027768053,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
C012,proto_sw_1_1,compact,rich,2,MB-L2,LG+CS,1,,1,1,1,0,0,0,0,0,0,0,0,0.05116224793693552,0.027768053,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
C012,proto_sw_1_1,compact,rich,2,MB-L2,JBC,1,,1,1,1,0,0,0,0,0,0,0,0,0.05116224793693552,0.027768053,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0
C012,proto_sw_1_1,compact,rich,2,MB-L2,LocalGreedy,2,,2,1,1,0,0,0,0,0,0,0,0,0.043386100099823736,0.027768053,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
C012,proto_sw_1_1,compact,rich,2,MB-L2,LG+Count,2,,2,1,1,0,0,0,0,0,0,0,0,0.043386100099823736,0.027768053,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
C012,proto_sw_1_1,compact,rich,2,MB-L2,LG+CS,2,,2,2,1,0,0,0,0,0,0,0,0,0.05116224793693552,0.027768053,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
C012,proto_sw_1_1,compact,rich,2,MB-L2,JBC,2,,2,2,1,0,0,0,0,0,0,0,0,0.05116224793693552,0.027768053,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
C012,proto_sw_1_1,compact,rich,2,MB-L2,LocalGreedy,3,,3,2,1,0,0,0,0,0,0,0,0,0.03536791545417866,0.027768053,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666
C012,proto_sw_1_1,compact,rich,2,MB-L2,LG+Count,3,,3,2,1,0,0,0,0,0,0,0,0,0.03536791545417866,0.027768053,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666
