pair_id,case_id,asset_id,prototype,structure_image,render_image,prompt_file,generation_route,returned_model_id,attempt,started_at,finished_at
sw3-A-32,E10V2_A346,E10V2_A346,SW3-A,structures/sw3-A-32.png,renderings/sw3-A-32.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-19T23:53:23.981632+08:00,2026-09-19T23:54:56.777841+08:00
sw3-B-32,A418,A418,SW3-B,structures/sw3-B-32.png,renderings/sw3-B-32.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-19T23:53:25.062647+08:00,2026-09-19T23:54:56.991946+08:00
sw1-A-33,E10V2_A085,E10V2_A085,SW1-A,structures/sw1-A-33.png,renderings/sw1-A-33.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-19T23:55:48.528660+08:00,2026-09-19T23:57:38.464546+08:00
sw1-B-33,A157,A157,SW1-B,structures/sw1-B-33.png,renderings/sw1-B-33.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-19T23:55:49.609502+08:00,2026-09-19T23:57:38.701416+08:00
sw1-C-33,E10V2_A526,E10V2_A526,SW1-C,structures/sw1-C-33.png,renderings/sw1-C-33.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-19T23:58:40.190853+08:00,2026-09-20T00:00:18.540201+08:00
sw2-A-33,A239,A239,SW2-A,structures/sw2-A-33.png,renderings/sw2-A-33.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-19T23:58:41.058461+08:00,2026-09-20T00:00:18.758857+08:00
sw3-A-33,A310,A310,SW3-A,structures/sw3-A-33.png,renderings/sw3-A-33.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:01:25.703967+08:00,2026-09-20T00:03:12.294307+08:00
sw3-B-33,A427,A427,SW3-B,structures/sw3-B-33.png,renderings/sw3-B-33.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:01:26.550558+08:00,2026-09-20T00:03:12.521378+08:00
sw1-A-34,A022,A022,SW1-A,structures/sw1-A-34.png,renderings/sw1-A-34.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:04:17.316679+08:00,2026-09-20T00:06:03.650856+08:00
sw1-B-34,A094,A094,SW1-B,structures/sw1-B-34.png,renderings/sw1-B-34.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:04:18.220186+08:00,2026-09-20T00:06:03.875363+08:00
sw1-C-34,A463,A463,SW1-C,structures/sw1-C-34.png,renderings/sw1-C-34.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:07:19.079763+08:00,2026-09-20T00:09:06.603180+08:00
sw2-A-34,A247,A247,SW2-A,structures/sw2-A-34.png,renderings/sw2-A-34.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:07:19.967485+08:00,2026-09-20T00:09:06.853247+08:00
sw3-A-34,A284,A284,SW3-A,structures/sw3-A-34.png,renderings/sw3-A-34.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:10:23.471036+08:00,2026-09-20T00:12:19.083374+08:00
sw3-B-34,A364,A364,SW3-B,structures/sw3-B-34.png,renderings/sw3-B-34.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:10:24.346852+08:00,2026-09-20T00:12:19.299429+08:00
sw1-A-35,A031,A031,SW1-A,structures/sw1-A-35.png,renderings/sw1-A-35.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:13:42.497724+08:00,2026-09-20T00:15:45.037349+08:00
sw1-B-35,A104,A104,SW1-B,structures/sw1-B-35.png,renderings/sw1-B-35.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:13:43.367873+08:00,2026-09-20T00:15:45.302815+08:00
sw1-C-35,A508,A508,SW1-C,structures/sw1-C-35.png,renderings/sw1-C-35.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:17:17.205129+08:00,2026-09-20T00:19:05.713129+08:00
sw2-A-35,A248,A248,SW2-A,structures/sw2-A-35.png,renderings/sw2-A-35.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:17:18.155807+08:00,2026-09-20T00:19:05.912752+08:00
sw3-A-35,A328,A328,SW3-A,structures/sw3-A-35.png,renderings/sw3-A-35.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:20:19.243844+08:00,2026-09-20T00:22:16.033198+08:00
sw3-B-35,A400,A400,SW3-B,structures/sw3-B-35.png,renderings/sw3-B-35.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:20:20.203184+08:00,2026-09-20T00:22:16.305764+08:00
sw1-A-36,A040,A040,SW1-A,structures/sw1-A-36.png,renderings/sw1-A-36.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:23:41.704714+08:00,2026-09-20T00:25:28.284113+08:00
sw1-B-36,A149,A149,SW1-B,structures/sw1-B-36.png,renderings/sw1-B-36.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:23:42.635853+08:00,2026-09-20T00:25:28.543646+08:00
sw1-C-36,A517,A517,SW1-C,structures/sw1-C-36.png,renderings/sw1-C-36.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:26:43.704221+08:00,2026-09-20T00:28:35.430101+08:00
sw2-A-36,A257,A257,SW2-A,structures/sw2-A-36.png,renderings/sw2-A-36.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:26:44.633170+08:00,2026-09-20T00:28:35.659448+08:00
sw3-A-36,A329,A329,SW3-A,structures/sw3-A-36.png,renderings/sw3-A-36.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:29:58.675538+08:00,2026-09-20T00:32:28.185840+08:00
sw3-B-36,A409,A409,SW3-B,structures/sw3-B-36.png,renderings/sw3-B-36.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:29:59.717654+08:00,2026-09-20T00:32:28.425297+08:00
sw1-A-37,A085,A085,SW1-A,structures/sw1-A-37.png,renderings/sw1-A-37.png,prompts/author_prompt_v1.txt,builtin_image_gen,,1,2026-09-20T00:33:40.421364+08:00,2026-09-20T00:35:44.256488+08:00
