case_id,distance_limit,target,method,attained,selected_ids,score,quality,B,U,total,peak
C023,0.05,4,LG+CS,True,proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050;proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0100;proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025;proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__selected_l1_006__L1-Only__independent_l1__context_preferred__sample_0125;proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__selected_l1_001__Y-2C__open_asymmetric__context_preferred__sample_0023;proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__selected_l1_004__Y-2C__open_asymmetric__context_swapped__sample_0093,1.803835165177711,1.443835165177711,4,2,0.0,0.0
C023,0.05,4,JBC,True,proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0050;proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0100;proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0025;proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__selected_l1_006__L1-Only__independent_l1__context_preferred__sample_0125;proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__selected_l1_001__Y-2C__open_asymmetric__context_preferred__sample_0023;proto_sw_1_3__seed_2443990248__global_l1_flow_v3__density_rich__selected_l1_004__Y-2C__open_asymmetric__context_swapped__sample_0093,1.803835165177711,1.443835165177711,4,2,0.0,0.0
C044,0.05,1,LG+CS,True,proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0102;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0136;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_006__L1-Only__independent_l1__context_preferred__sample_0170;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0034;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_003__Y-C__open_c__context_opposed__sample_0074,0.8954733912460087,0.7154733912460087,1,1,0.0,0.0
C044,0.05,1,JBC,True,proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0102;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0136;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_006__L1-Only__independent_l1__context_preferred__sample_0170;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_002__Y-C__compact_c__context_opposed__sample_0036;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0068,0.9065949472933923,0.7265949472933922,1,1,0.0,0.0
C044,0.05,2,LG+CS,True,proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0102;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0136;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_006__L1-Only__independent_l1__context_preferred__sample_0170;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_002__L1-Only__independent_l1__context_preferred__sample_0034;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_003__Y-2C__open_asymmetric__context_swapped__sample_0091,0.9070880246925832,0.7270880246925833,2,1,0.0,0.0
C044,0.05,2,JBC,True,proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0102;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0136;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_006__Y-C__compact_c__context_preferred__sample_0171;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_002__Y-C__compact_c__context_opposed__sample_0036;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_003__L1-Only__independent_l1__context_preferred__sample_0068,1.811758067707268,1.4517580677072681,2,2,0.0,0.0
C044,0.05,3,LG+CS,True,proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0102;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0136;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_006__L1-Only__independent_l1__context_preferred__sample_0170;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_002__Y-C__compact_c__context_opposed__sample_0036;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_003__Y-2C__open_asymmetric__context_swapped__sample_0091,1.8136829719859753,1.4536829719859754,3,2,0.0,0.0
C044,0.05,3,JBC,True,proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0102;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0136;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_006__L1-Only__independent_l1__context_preferred__sample_0170;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_002__Y-C__compact_c__context_opposed__sample_0036;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_003__Y-2C__open_asymmetric__context_swapped__sample_0091,1.8136829719859753,1.4536829719859754,3,2,0.0,0.0
C044,0.05,4,LG+CS,True,proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0102;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0136;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_006__L1-Only__independent_l1__context_preferred__sample_0170;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_002__Y-2C__open_asymmetric__context_preferred__sample_0065;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_003__Y-2C__open_asymmetric__context_swapped__sample_0091,1.812772962344066,1.4527729623440662,4,2,0.0,0.0
C044,0.05,4,JBC,True,proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_001__L1-Only__independent_l1__context_preferred__sample_0000;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_004__L1-Only__independent_l1__context_preferred__sample_0102;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_005__L1-Only__independent_l1__context_preferred__sample_0136;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_006__L1-Only__independent_l1__context_preferred__sample_0170;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_002__Y-2C__open_asymmetric__context_preferred__sample_0065;proto_sw_2_3__seed_1160898339__global_l1_flow_v3__density_simple__selected_l1_003__Y-2C__open_asymmetric__context_swapped__sample_0091,1.812772962344066,1.4527729623440662,4,2,0.0,0.0
