prototype_id,backbone_variant,replicate,case_ids,same_resource_domain,l1_count_class,ordinary_length_class,D_class
proto_sw_2_3,swept,6,A232;A233;A234,1,ties,strict,strict
proto_sw_2_3,expanded,7,A235;A236;A237,1,strict,strict,strict
proto_sw_2_3,compact,7,A238;A239;A240,1,ties,strict,strict
proto_sw_2_3,swept,7,A241;A242;A243,1,ties,strict,strict
proto_sw_2_3,expanded,8,A244;A245;A246,1,strict,strict,strict
proto_sw_2_3,compact,8,A247;A248;A249,1,ties,strict,strict
proto_sw_2_3,swept,8,A250;A251;A252,1,ties,strict,strict
proto_sw_2_3,expanded,9,A253;A254;A255,1,ties,strict,strict
proto_sw_2_3,compact,9,A256;A257;A258,1,ties,strict,strict
proto_sw_2_3,swept,9,A259;A260;A261,1,ties,strict,strict
proto_sw_2_3,expanded,10,A262;A263;A264,1,strict,strict,strict
proto_sw_2_3,compact,10,A265;A266;A267,1,ties,strict,strict
proto_sw_2_3,swept,10,A268;A269;A270,1,strict,strict,strict
proto_sw_3_1,expanded,1,A271;A272;A273,1,ties,strict,strict
proto_sw_3_1,compact,1,A274;A275;A276,1,ties,strict,strict
proto_sw_3_1,swept,1,A277;A278;A279,1,ties,strict,strict
proto_sw_3_1,expanded,2,A280;A281;A282,1,ties,strict,strict
proto_sw_3_1,compact,2,A283;A284;A285,1,ties,strict,strict
proto_sw_3_1,swept,2,A286;A287;A288,1,ties,strict,strict
proto_sw_3_1,expanded,3,A289;A290;A291,1,ties,strict,strict
proto_sw_3_1,compact,3,A292;A293;A294,1,ties,strict,strict
proto_sw_3_1,swept,3,A295;A296;A297,1,ties,strict,strict
proto_sw_3_1,expanded,4,A298;A299;A300,1,ties,strict,strict
proto_sw_3_1,compact,4,A301;A302;A303,1,ties,strict,strict
proto_sw_3_1,swept,4,A304;A305;A306,1,ties,strict,strict
proto_sw_3_1,expanded,5,A307;A308;A309,1,ties,reversal,strict
proto_sw_3_1,compact,5,A310;A311;A312,1,ties,strict,strict
proto_sw_3_1,swept,5,A313;A314;A315,1,ties,strict,strict
proto_sw_3_1,expanded,6,A316;A317;A318,1,strict,strict,strict
