case_id,matrix_id,method,prototype_id,backbone_variant,density_level,replicate,production_seed,generation_success,error_type,error_message,ordinary_l1_count,selected_l1_only_count,selected_l2_count,branchunit_count,stage3_runtime_seconds,stage4_runtime_seconds,conflict_graph_runtime_seconds,selection_runtime_seconds,render_runtime_seconds,total_runtime_seconds,l1_candidate_count,branchunit_candidate_count,conflict_edge_count,pair_penalty_count,search_node_count,search_node_limit,search_node_limit_reached,case_dir,mechanical_evaluation_success,internal_unit_crossing_count,cross_unit_crossing_count,ordinary_backbone_nonroot_crossing_count,ordinary_support_crossing_count,periodic_crossing_count,minimum_cross_unit_clearance,minimum_full_unit_clearance_required,clearance_violation_count,flower_region_intrusion_curve_count,backbone_seam_position_gap,backbone_seam_tangent_dot,periodic_seam_violation_count,parallel_cotravel_total,parallel_cotravel_peak,l1_layout_crossing_count,l1_layout_periodic_crossing_count,l1_layout_minimum_clearance,l1_layout_parallel_cotravel_total,l1_layout_parallel_cotravel_peak,l1_count,l2_count,branchunit_count_evaluated,ordinary_total_length,ordinary_mean_length,mean_backbone_excursion,vertical_span,occupied_area_ratio,upper_allocation_ratio,lower_allocation_ratio,hierarchy_l1_only_ratio,hierarchy_single_l2_ratio,hierarchy_opposed_l2_ratio,density_resource_D,root_hist_0,root_hist_1,root_hist_2,root_hist_3,root_hist_4,root_hist_5,root_hist_6,root_hist_7,root_gap_q25,root_gap_q50,root_gap_q75,root_gap_max,root_coverage_qcov,root_concentration,mechanical_evaluation_error,rq_use,backbone_seed,flower_seed,branch_seed,unit_seed,backbone_seed_source,flower_seed_source,branch_seed_source,unit_seed_source,allocation_rule
A011,A,Ours,proto_sw_1_1,expanded,medium,2,200001,1,,,4,3,1,4,8.942348300013691,1.344370200065896,0.6593343000859022,0.0015029001515358686,0.01907579996623099,10.97680679988116,999,100,0,0,142,300000,0,raw_cases/A011,1,0,0,0,0,0,0.1985994162969509,0.027768053,0,0,0.0,1.0,0,0.0,0.0,0,0,0.1985994162969509,0.0,0.0,4,1,4,1.0351257531740505,0.2070251506348101,0.10439657287498336,0.8830286310000001,0.011970029239766082,0.5,0.5,0.75,0.25,0.0,0.245131064,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.15151515175,0.151515152,0.25000000025,0.5454545449999999,0.4545454550000001,0.25,,,,,,,,,,,
A012,A,Ours,proto_sw_1_1,expanded,rich,2,200001,1,,,6,5,1,6,8.898429999826476,2.036025899928063,2.668672600062564,0.0031608000863343477,0.022227399982511997,13.639574900036678,999,150,0,60,256,300000,0,raw_cases/A012,1,0,0,0,0,0,0.06072969041928516,0.027768053,0,0,0.0,1.0,0,0.0,0.0,0,0,0.11510191390192334,0.0,0.0,6,1,6,1.4263131751936138,0.2037590250276591,0.07224343085577604,0.8830286310000001,0.019131487573099414,0.5,0.5,0.8333333333333334,0.16666666666666666,0.0,0.748908716,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0984848485,0.121212121,0.12121212175000001,0.45454545399999996,0.545454546,0.3333333333333333,,,,,,,,,,,
A013,A,Ours,proto_sw_1_1,compact,simple,2,200001,1,,,4,3,1,4,8.056744599947706,1.4437004001811147,0.3249480000231415,0.001022599870339036,0.015865999972447753,9.853006900055334,1065,100,24,60,76,300000,0,raw_cases/A013,1,0,0,0,0,0,0.10147331970177512,0.027768053,0,0,0.0,1.0000000000000004,0,0.0,0.0,0,0,0.1014921442636117,0.0,0.0,4,1,4,1.0595008117886429,0.21190016235772857,0.07466424090635444,0.992390133,0.01378609283625731,0.5,0.5,0.75,0.25,0.0,0.22187524,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.15909090850000002,0.2575757575,0.348484849,0.39393939399999994,0.606060606,0.25,,,,,,,,,,,
A014,A,Ours,proto_sw_1_1,compact,medium,2,200001,1,,,5,4,1,5,8.240842999890447,1.6975116000976413,1.9091211999766529,0.002904500113800168,0.016415500082075596,11.879267799900845,1065,125,345,303,216,300000,0,raw_cases/A014,1,0,0,0,0,0,0.04496307499552269,0.027768053,0,0,0.0,1.0000000000000004,0,0.0,0.0,0,0,0.04483525681908543,0.0,0.0,5,1,5,1.303951274347768,0.21732521239129465,0.08175524312493428,1.066146878,0.01712125365497076,0.6,0.4,0.8,0.2,0.0,0.518698532,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.121212121,0.121212122,0.33333333299999995,0.333333333,0.666666667,0.2,,,,,,,,,,,
A015,A,Ours,proto_sw_1_1,compact,rich,2,200001,1,,,6,5,1,6,7.981162199983373,2.0673396000638604,2.773676199838519,0.00266369991004467,0.023303499910980463,12.862652499927208,1065,150,0,80,87,300000,0,raw_cases/A015,1,0,0,0,0,0,0.13467985028233076,0.027768053,0,0,0.0,1.0000000000000004,0,0.0,0.0,0,0,0.13468369643526687,0.0,0.0,6,1,6,1.4209380996767158,0.20299115709667367,0.06360961498240655,1.075097683,0.02190698099415205,0.5,0.5,0.8333333333333334,0.16666666666666666,0.0,0.718854626,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.090909091,0.1060606065,0.25757575774999997,0.303030303,0.696969697,0.3333333333333333,,,,,,,,,,,
A016,A,Ours,proto_sw_1_1,swept,simple,2,200001,1,,,4,3,1,4,7.214440800016746,1.3585397999268025,0.34254520013928413,0.001820600125938654,0.01918450021184981,8.947774100117385,1031,100,0,0,106,300000,0,raw_cases/A016,1,0,0,0,0,0,0.07644251040328645,0.027768053,0,0,0.0,1.0,0,0.0,0.0,0,0,0.07642528539454072,0.0,0.0,4,1,4,1.0502278161508916,0.2100455632301783,0.0741733531627014,0.997820809,0.015299479166666666,0.5,0.5,0.75,0.25,0.0,0.18495981,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.15909090925,0.2575757575,0.34848484825,0.39393939399999994,0.606060606,0.25,,,,,,,,,,,
A017,A,Ours,proto_sw_1_1,swept,medium,2,200001,1,,,6,5,1,6,7.082132500130683,2.062400999944657,1.0069356998428702,0.002174600027501583,0.021783500211313367,10.188949499977753,1031,150,0,0,153,300000,0,raw_cases/A017,1,0,0,0,0,0,0.21024758604968663,0.027768053,0,0,0.0,1.0,0,0.0,0.0,0,0,0.21034465251134565,0.0,0.0,6,1,6,1.2783052197694915,0.18261503139564164,0.06451568510836488,0.9903202470000001,0.015533625730994151,0.5,0.5,0.8333333333333334,0.16666666666666666,0.0,0.581452108,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.121212121,0.1212121215,0.212121212,0.30303030299999995,0.6969696970000001,0.16666666666666666,,,,,,,,,,,
A018,A,Ours,proto_sw_1_1,swept,rich,2,200001,1,,,6,5,1,6,7.0763808998744935,2.037735699908808,1.5598486000671983,0.0024603998754173517,0.01762049994431436,10.706101499963552,1031,150,0,0,173,300000,0,raw_cases/A018,1,0,0,0,0,0,0.1931179926758978,0.027768053,0,0,0.0,1.0,0,0.0,0.0,0,0,0.193123734727546,0.0,0.0,6,1,6,1.4251628524780566,0.20359469321115098,0.07100117727024821,0.9903202470000001,0.018023574561403508,0.5,0.5,0.8333333333333334,0.16666666666666666,0.0,0.703468751,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.121212121,0.1212121215,0.212121212,0.30303030299999995,0.6969696970000001,0.16666666666666666,,,,,,,,,,,
A019,A,Ours,proto_sw_1_1,expanded,simple,3,200002,1,,,4,3,1,4,8.439615600043908,1.3055253999773413,1.0787152999546379,0.0025817998684942722,0.018556599970906973,10.857768699992448,964,100,0,0,147,300000,0,raw_cases/A019,1,0,0,0,0,0,0.12219942965952355,0.027768053,0,0,0.0,1.0,0,0.0,0.0,0,0,0.12219942965952355,0.0,0.0,4,1,4,1.0249071049040412,0.2049814209808083,0.08883502168227948,0.981632514,0.011524579678362573,0.5,0.5,0.75,0.25,0.0,0.201235708,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.15151515175,0.166666667,0.26515151524999997,0.5151515149999999,0.4848484850000001,0.25,,,,,,,,,,,
A020,A,Ours,proto_sw_1_1,expanded,medium,3,200002,1,,,5,3,2,5,8.437410299899057,1.6791632999666035,1.8231554001104087,0.0021182000637054443,0.018719800049439073,11.971201400039718,964,125,0,0,224,300000,0,raw_cases/A020,1,0,0,0,0,0,0.14755462649782833,0.027768053,0,0,0.0,1.0,0,0.0,0.0,0,0,0.14757232956480176,0.0,0.0,5,2,5,1.4087305956210112,0.20124722794585875,0.08176327822269351,0.8481395049999999,0.017458196271929825,0.4,0.6,0.6,0.4,0.0,0.441027852,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.090909091,0.15151515100000001,0.151515152,0.5151515149999999,0.4848484850000001,0.2,,,,,,,,,,,
