case_id,prototype_id,backbone_variant,replicate,density_level,l1_count,ordinary_length,D,target,source_dir,residual
A041,proto_sw_1_1,compact,5,medium,5,1.2770354718039112,0.421176127,0.429414747,../../structural_assets/assets/A041,-0.008238619999999974
A042,proto_sw_1_1,compact,5,rich,6,1.4707527204591855,0.678135402,0.688102197,../../structural_assets/assets/A042,-0.009966794999999973
A043,proto_sw_1_1,swept,5,simple,4,1.04060918164883,0.109172613,0.129499324,../../structural_assets/assets/A043,-0.020326710999999997
A044,proto_sw_1_1,swept,5,medium,6,1.6817551665750945,0.61326962,0.45870918,../../structural_assets/assets/A044,0.15456043999999997
A045,proto_sw_1_1,swept,5,rich,6,1.6904317347124826,0.627731809,0.638391693,../../structural_assets/assets/A045,-0.010659883999999953
A046,proto_sw_1_1,expanded,6,simple,4,1.063673115581398,0.237932809,0.226863964,../../structural_assets/assets/A046,0.011068844999999994
A047,proto_sw_1_1,expanded,6,medium,5,1.4599587533197018,0.508609686,0.492349273,../../structural_assets/assets/A047,0.01626041300000003
A048,proto_sw_1_1,expanded,6,rich,6,1.575422696910477,0.733706946,0.703800567,../../structural_assets/assets/A048,0.029906378999999927
A049,proto_sw_1_1,compact,6,simple,4,1.1724404334279814,0.147300919,0.193981941,../../structural_assets/assets/A049,-0.04668102199999999
A050,proto_sw_1_1,compact,6,medium,5,1.5652677835159827,0.520532242,0.480082526,../../structural_assets/assets/A050,0.040449716000000024
A051,proto_sw_1_1,compact,6,rich,6,1.7112970013375735,0.749391,0.826728425,../../structural_assets/assets/A051,-0.07733742499999996
A052,proto_sw_1_1,swept,6,simple,4,1.0430433276801268,0.133074338,0.169932738,../../structural_assets/assets/A052,-0.03685840000000001
A053,proto_sw_1_1,swept,6,medium,6,1.5541095270161045,0.621297229,0.485523428,../../structural_assets/assets/A053,0.13577380099999997
A054,proto_sw_1_1,swept,6,rich,6,1.5645889852291948,0.664106909,0.703525173,../../structural_assets/assets/A054,-0.039418263999999925
A055,proto_sw_1_1,expanded,7,simple,4,1.0463177886618273,0.243121195,0.243090162,../../structural_assets/assets/A055,3.103300000001363e-05
A056,proto_sw_1_1,expanded,7,medium,6,1.271291555570635,0.543915536,0.488788411,../../structural_assets/assets/A056,0.055127125
