case_id,method,prototype_id,backbone_variant,density_level,replicate,production_seed,generation_success,l1_generation_success,unit_generation_applicable,unit_generation_success,error_type,error_message,ordinary_l1_count,selected_l2_count,branchunit_count,shared_stage3_plan_id,shared_stage4_inventory_id,shared_conflict_graph_id,method_plan_id,method_selection_id,runtime_seconds,method_dir,mechanical_evaluation_success,internal_unit_crossing_count,cross_unit_crossing_count,ordinary_backbone_nonroot_crossing_count,ordinary_support_crossing_count,periodic_crossing_count,minimum_cross_unit_clearance,minimum_full_unit_clearance_required,clearance_violation_count,flower_region_intrusion_curve_count,backbone_seam_position_gap,backbone_seam_tangent_dot,periodic_seam_violation_count,parallel_cotravel_total,parallel_cotravel_peak,l1_layout_crossing_count,l1_layout_periodic_crossing_count,l1_layout_minimum_clearance,l1_layout_parallel_cotravel_total,l1_layout_parallel_cotravel_peak,l1_count,l2_count,branchunit_count_evaluated,ordinary_total_length,ordinary_mean_length,mean_backbone_excursion,vertical_span,occupied_area_ratio,upper_allocation_ratio,lower_allocation_ratio,hierarchy_l1_only_ratio,hierarchy_single_l2_ratio,hierarchy_opposed_l2_ratio,density_resource_D,root_hist_0,root_hist_1,root_hist_2,root_hist_3,root_hist_4,root_hist_5,root_hist_6,root_hist_7,root_gap_q25,root_gap_q50,root_gap_q75,root_gap_max,root_coverage_qcov,root_concentration,mechanical_evaluation_error
C060,IndependentCurve,proto_sw_3_1,expanded,rich,2,100019,1,1,0,0,,,6,0,6,proto_sw_3_1__seed_898415462__global_l1_flow_v3__density_rich,,,proto_sw_3_1__seed_898415462__global_l1_flow_v3__density_rich__baseline_independentcurve,proto_sw_3_1__seed_898415462__global_l1_flow_v3__density_rich__baseline_independentcurve__selection,0.03170059993863106,raw_cases/C060/methods/IndependentCurve,1,0,1,0,0,0,0.0,0.020067678,1,0,0.0,0.9999999999999999,0,0.0,0.0,1,0,0.0,1.151912515086698,0.6503287466964676,6,0,6,1.5064156189715652,0.2510692698285942,0.09545613102428195,0.7037807440000001,0.02509936951754386,0.5,0.5,1.0,0.0,0.0,0.567483543,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.007575757499999995,0.030303030499999994,0.21212121175,0.666666667,0.333333333,0.8333333333333334,
C060,FixedSlot,proto_sw_3_1,expanded,rich,2,100019,0,0,1,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment,,,,,,,,,0.44597369991242886,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generation failed; no canonical geometry
C060,LocalGreedy,proto_sw_3_1,expanded,rich,2,100019,1,1,1,1,,,6,2,6,proto_sw_3_1__seed_898415462__global_l1_flow_v3__density_rich,proto_sw_3_1__seed_898415462__global_l1_flow_v3__density_rich__unit_candidates_v2,9f450af49a3d2aa60b88fac88bb956842828cc604c09afcde506503dcf8239f5,proto_sw_3_1__seed_898415462__global_l1_flow_v3__density_rich,proto_sw_3_1__seed_898415462__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,0.04151930008083582,raw_cases/C060/methods/LocalGreedy,1,0,0,0,0,0,0.09497759163302522,0.020067678,0,0,0.0,0.9999999999999999,0,0.0,0.0,0,0,0.09512379546476529,0.0,0.0,6,2,6,1.8730934250671711,0.23413667813339636,0.13421552696002848,0.8575089839999999,0.03073030884502924,0.5,0.5,0.8333333333333334,0.0,0.16666666666666666,0.567483543,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.090909091,0.106060606,0.234848485,0.333333333,0.666666667,0.3333333333333333,
C060,Ours,proto_sw_3_1,expanded,rich,2,100019,1,1,1,1,,,6,1,6,proto_sw_3_1__seed_898415462__global_l1_flow_v3__density_rich,proto_sw_3_1__seed_898415462__global_l1_flow_v3__density_rich__unit_candidates_v2,9f450af49a3d2aa60b88fac88bb956842828cc604c09afcde506503dcf8239f5,proto_sw_3_1__seed_898415462__global_l1_flow_v3__density_rich,proto_sw_3_1__seed_898415462__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b,0.040790600003674626,raw_cases/C060/methods/Ours,1,0,0,0,0,0,0.09497759163302522,0.020067678,0,0,0.0,0.9999999999999999,0,0.0,0.0,0,0,0.09512379546476529,0.0,0.0,6,1,6,1.6922100198850796,0.24174428855501137,0.11372026012111688,0.7775905889999999,0.028897112573099414,0.5,0.5,0.8333333333333334,0.16666666666666666,0.0,0.567483543,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.090909091,0.106060606,0.234848485,0.333333333,0.666666667,0.3333333333333333,
C061,IndependentCurve,proto_sw_3_1,compact,simple,1,100001,1,1,0,0,,,6,0,6,proto_sw_3_1__seed_302128940__global_l1_flow_v3__density_simple,,,proto_sw_3_1__seed_302128940__global_l1_flow_v3__density_simple__baseline_independentcurve,proto_sw_3_1__seed_302128940__global_l1_flow_v3__density_simple__baseline_independentcurve__selection,0.03377339988946915,raw_cases/C061/methods/IndependentCurve,1,0,1,0,0,0,0.0,0.020067678,1,0,0.0,1.0000000000000002,0,0.0,0.0,1,0,0.0,0.03162887584508531,0.02293491117038115,6,0,6,1.5234123489169806,0.25390205815283007,0.08645597214615924,0.475326198,0.02608735380116959,0.5,0.5,1.0,0.0,0.0,0.380577925,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.007575757499999988,0.04545454499999996,0.060606060750000024,0.8484848490000001,0.1515151509999999,0.8333333333333334,
C061,FixedSlot,proto_sw_3_1,compact,simple,1,100001,1,1,1,1,,,6,1,6,proto_sw_3_1__seed_302128940__global_l1_flow_v3__density_simple,,,proto_sw_3_1__seed_302128940__global_l1_flow_v3__density_simple__baseline_fixedslot,proto_sw_3_1__seed_302128940__global_l1_flow_v3__density_simple__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,6.178664600010961,raw_cases/C061/methods/FixedSlot,1,0,0,0,0,0,0.03505498642339133,0.020067678,0,0,0.0,1.0000000000000002,0,0.0,0.0,0,0,0.03515850946894469,0.06985594549638154,0.06985594549638154,6,1,6,2.4722533973856455,0.35317905676937794,0.14322084883395375,0.818128007,0.03660110562865497,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.0,0.380577925,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.06796385074999997,0.081944444,0.286898,0.35921488600000007,0.6407851139999999,0.3333333333333333,
C061,LocalGreedy,proto_sw_3_1,compact,simple,1,100001,1,1,1,1,,,6,1,6,proto_sw_3_1__seed_302128940__global_l1_flow_v3__density_simple,proto_sw_3_1__seed_302128940__global_l1_flow_v3__density_simple__unit_candidates_v2,1a2031a4a0bbceb627924f03c04d54d3b4efe1bbe6c6c62430114047010bd7f6,proto_sw_3_1__seed_302128940__global_l1_flow_v3__density_simple,proto_sw_3_1__seed_302128940__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,0.03521230001933873,raw_cases/C061/methods/LocalGreedy,1,0,0,0,0,0,0.07353154994897379,0.020067678,0,0,0.0,1.0000000000000002,0,0.0,0.0,0,0,0.07353154994897387,0.0,0.0,6,1,6,1.4659369812057068,0.20941956874367243,0.07852492331421343,0.7187425080000001,0.024596811038011698,0.5,0.5,0.8333333333333334,0.16666666666666666,0.0,0.380577925,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.090909091,0.09090909100000001,0.24999999999999997,0.333333333,0.666666667,0.3333333333333333,
C061,Ours,proto_sw_3_1,compact,simple,1,100001,1,1,1,1,,,6,2,6,proto_sw_3_1__seed_302128940__global_l1_flow_v3__density_simple,proto_sw_3_1__seed_302128940__global_l1_flow_v3__density_simple__unit_candidates_v2,1a2031a4a0bbceb627924f03c04d54d3b4efe1bbe6c6c62430114047010bd7f6,proto_sw_3_1__seed_302128940__global_l1_flow_v3__density_simple,proto_sw_3_1__seed_302128940__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b,0.03509650006890297,raw_cases/C061/methods/Ours,1,0,0,0,0,0,0.0705457561715527,0.020067678,0,0,0.0,1.0000000000000002,0,0.0,0.0,0,0,0.07353154994897387,0.0,0.0,6,2,6,1.5957521019260315,0.19946901274075393,0.09617701286264269,0.720674624,0.02451685855263158,0.5,0.5,0.8333333333333334,0.0,0.16666666666666666,0.380577925,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.090909091,0.09090909100000001,0.24999999999999997,0.333333333,0.666666667,0.3333333333333333,
C062,IndependentCurve,proto_sw_3_1,compact,simple,2,100066,1,1,0,0,,,5,0,5,proto_sw_3_1__seed_3724261499__global_l1_flow_v3__density_simple,,,proto_sw_3_1__seed_3724261499__global_l1_flow_v3__density_simple__baseline_independentcurve,proto_sw_3_1__seed_3724261499__global_l1_flow_v3__density_simple__baseline_independentcurve__selection,0.02929900004528463,raw_cases/C062/methods/IndependentCurve,1,0,1,0,0,0,0.0,0.020067678,1,0,0.0,1.0000000000000002,0,0.0,0.0,1,0,0.0,0.46354099027688256,0.39632670060266445,5,0,5,1.2343282368923407,0.2468656473784681,0.08403005621067686,0.46545947499999996,0.021530062134502925,0.4,0.6,1.0,0.0,0.0,0.123358163,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.03030303000000001,0.03030303099999998,0.090909091,0.818181818,0.181818182,0.6,
C062,FixedSlot,proto_sw_3_1,compact,simple,2,100066,1,1,1,1,,,5,2,5,proto_sw_3_1__seed_3724261499__global_l1_flow_v3__density_simple,,,proto_sw_3_1__seed_3724261499__global_l1_flow_v3__density_simple__baseline_fixedslot,proto_sw_3_1__seed_3724261499__global_l1_flow_v3__density_simple__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,4.1365366000682116,raw_cases/C062/methods/FixedSlot,1,0,0,0,0,0,0.061832284755371184,0.020067678,0,0,0.0,1.0000000000000002,0,0.0,0.0,0,0,0.06194833423355582,0.0,0.0,5,2,5,2.1646067024754414,0.30922952892506306,0.1453955823828161,0.6172620350000001,0.032312225877192985,0.6,0.4,0.6,0.4,0.0,0.123358163,0.0,0.4,0.2,0.2,0.0,0.2,0.0,0.0,0.07499999999999998,0.160668003,0.30036190199999996,0.4050988980000001,0.5949011019999999,0.4,
